"Claim.Amount","Close.Amount","Disposition_Approve.in.Full","Disposition_Deny","Disposition_Settle","kmeansCluster"
250,250,1,0,0,4
230,230,1,0,0,4
241.48,241,1,0,0,4
55,55,1,0,0,4
24.55,24.55,1,0,0,4
2200,1590,1,0,0,4
44,44,1,0,0,4
42.39,42,1,0,0,4
2008.21,0,0,1,0,3
400,0,0,1,0,3
175,0,0,1,0,3
500,0,0,1,0,3
400,0,0,1,0,3
2320,0,0,1,0,3
471.21,0,0,1,0,3
50000,0,0,1,0,1
300,0,0,1,0,3
350,0,0,1,0,3
1100,0,0,1,0,3
287.57,287.57,0,1,0,3
250,0,0,1,0,3
140,0,0,1,0,3
85,6.27,0,0,1,2
200,150,0,0,1,2
99,79.2,0,0,1,2
100,85,0,0,1,2
140,70,0,0,1,2
1700,1000,0,0,1,2
150,135,0,0,1,2
10100,100,0,0,1,2
61.75,62,1,0,0,4
49.99,49.99,1,0,0,4
28,28,1,0,0,4
41.98,0,0,1,0,3
422.18,0,0,1,0,3
262.5,131.25,0,0,1,2
189.99,180.49,0,0,1,2
93,42.95,0,0,1,2
79,79,1,0,0,4
200,200,1,0,0,4
70,70,1,0,0,4
155.88,156,1,0,0,4
1429.97,0,0,1,0,3
1100,0,0,1,0,3
550,256,0,0,1,2
100,100,1,0,0,4
35,35,1,0,0,4
57.23,57,1,0,0,4
200,50,0,0,1,2
65,16,0,0,1,2
100,0,0,1,0,3
100,100,1,0,0,4
45,45,1,0,0,4
850,850,1,0,0,4
150,150,1,0,0,4
21.19,21.19,1,0,0,4
833.95,834,1,0,0,4
120,120,1,0,0,4
20,20,1,0,0,4
21.2,21,1,0,0,4
20,20,1,0,0,4
200,200,1,0,0,4
66.59,67,1,0,0,4
65,65,1,0,0,4
280.37,280,1,0,0,4
326,326,1,0,0,4
154,154,1,0,0,4
1030.33,0,0,1,0,3
11.99,0,0,1,0,3
3214,0,0,1,0,3
930,0,0,1,0,3
315,0,0,1,0,3
21,0,0,1,0,3
1969,1969,0,1,0,1
1999,0,0,1,0,3
250,0,0,1,0,3
80,0,0,1,0,3
40,20,0,0,1,2
309.99,75,0,0,1,2
779,10,0,0,1,2
